,Rank,Total,Divestment,Innovation,Curriculum,Research,Campus Engagement,Public Engagement,Air & Climate,Buildings,Energy,Food & Dining,Purchasing,Grounds,Transportation,Water,Waste,Coordination and Planning,Diversity and Affordability,Investment & Finance,Wellbeing & Work
Green Mountain College,1,86.95,6,4,19.71,6.57,9.55,5.99,9.46,0.23,6.65,1.55,0.92,1.81,3.52,1.56,2.07,1.97,2.72,1.35,1.32
"University of CA, Irvine",1,86.95,3,4,17.64,6.25,9.16,9,6.02,2.28,4.04,1.68,1.19,1.69,3.86,5.21,3.46,2,3.81,1.04,1.64
University of New Hampshire,2,84.3,0,4,18.22,6.29,9.71,9.35,7.87,1.74,6.32,1.4,1.04,1.89,3.03,2.43,2.64,1.89,3.77,1.04,1.67
University of Connecticut,3,81.76,0,4,16.84,6.29,9.95,9.62,5.45,1.65,3.3,3.2,1.07,1.7,3.33,4.76,2.89,1.95,3.63,0.78,1.34
Colorado State University,4,81.22,0,4,17.7,6.25,9.88,9.76,4.29,1.91,2.81,1.65,1.2,1.82,2.83,5.37,3.07,1.94,3.78,0.94,2.03
Arizona State University,5,81.04,1,4,15.91,6.3,10,9.54,6.3,1.59,5.7,1.59,1.14,1.12,2.96,3.24,3.3,1.65,3.3,1.11,1.28
Dickinson College,6,80.67,1,4,17.21,6.59,10.42,7.06,7.43,1.83,5.37,1.49,1.19,1.45,3.41,2.87,2.21,1.91,3.8,0.84,0.6
University of MA Amherst,7,79.07,5,4,14.41,5.78,9.41,8.13,5.72,1.6,3.87,1.87,0.94,1.14,3.25,4.11,2.52,1.58,3.51,0.73,1.49
Seattle University,8,78.41,5,4,18.46,5.04,7.2,9.5,5.97,2.05,3.35,1.14,0.97,2.25,3.02,1.27,2.53,1.84,3,0.44,1.38
"CA State University, Chico",9,78,6,4,17.12,4.52,7.76,7.3,6.75,1.26,2.86,2.28,0.88,2.07,3.06,2.16,3.35,1.95,2.92,0.29,1.46
Middlebury College,10,76.99,1,4,14.33,6.02,7.33,9.13,8.82,1.3,3.85,1.2,0.63,2.02,3.41,1.95,3.07,2.05,3.82,1.05,2
Sterling College,11,76.86,0,4,17.17,5.45,9.72,8.46,4.56,0.41,5.92,4.11,0.66,2.05,3.33,2,1.8,1.44,3.01,1.01,1.76
American University,12,76.53,1,4,14.39,5.32,8.11,4.66,7.83,1.77,8.13,1.13,1.2,1.75,3.6,4.74,2.54,1.95,3.27,0.43,0.7
Santa Clara University,13,76.13,1,4,16.65,5.94,9.34,8.54,5.97,1.09,5,1.7,0.98,0.57,3.3,2.5,2.94,1.07,3.58,0.36,1.58
Chatham University,14,76.09,0,4,16.17,5.7,9.4,9.26,7.75,1.33,3.82,2.07,0.49,1.73,2.64,3.46,1.68,1.64,3.8,0.08,1.08
Oregon State University,15,75.82,6,4,14.24,5.47,9.29,7.28,4.06,1.01,3.45,1.8,0.85,1.74,3.13,3.19,3.06,1.71,3.39,0.56,1.58
University of Oregon,16,75.42,6,4,16.76,5.26,8.41,5.37,5.09,2.1,2.73,1.08,0.63,1.36,3.76,2.52,3.1,2,3.32,0.19,1.77
Lewis & Clark College,17,75.05,6,4,11.46,4.09,5.97,6.99,9.07,1.65,5.75,2.07,1.1,2.2,3.21,1.57,2.72,1.12,3.61,1.3,1.17
University of Dayton,18,74.93,3,4,17.66,6.37,8.36,8.82,4.25,1.13,2.4,1.17,1.27,1.27,2.62,3.1,2.3,1.78,3.72,0.43,1.26
